PMID,DOI,Author Information,Abstract
31260737,10.1002/cm.21796,"(1)Department of Systems Biology, Harvard Medical School, Boston, Massachusetts, 
USA.

","
In January of this year I received an unexpected request from George Bloom to 
contribute an historical perspective on ""the discovery of tau protein,"" an event 
that occurred roughly 50 years ago. My first thought was that it could not have 
been that long ago, as the memories of what was my first independent scientific 
discovery are still fresh in my mind today. But 50 years is half a century and, 
as I thought about the events, I realized how much the practice of science has 
changed.

© 2023 Wiley Periodicals LLC."
37823566,10.1016/j.neuroscience.2022.04.024,"(1)Centro de Biología Molecular 'Severo Ochoa' (CBMSO) CSIC/UAM, Madrid, Spain.
(2)Department of Pathology and Experimental Therapeutics, University of 
Barcelona, Bellvitge, University Hospital-IDIBELL, Hospitalet de Llobregat, 
Spain; Department of Cell Biology, Physiology and Immunology, Faculty of 
Biology, Universitat de Barcelona, 08028 Barcelona, Spain.
(3)Departamento de Anatomía Histología y Neurociencia, Facultad de Medicina UAM, 
Madrid, Spain.
(4)Department of Molecular Biology, Facultad de Medicina, Universidad de 
Cantabria, Santander 39005 Spain.
(5)Institute for Bioengineering of Catalonia (IBEC), The Barcelona Institute of 
Science and Technology, 08028 Barcelona, Spain; Department of Cell Biology, 
Physiology and Immunology, Faculty of Biology, Universitat de Barcelona, 08028 
Barcelona, Spain; Institute of Neuroscience, University of Barcelona, 08028 
Barcelona, Spain.
(6)Centro de Biología Molecular 'Severo Ochoa' (CBMSO) CSIC/UAM, Madrid, Spain; 
Networking Research Centre on Neurodegenerative Diseases (CIBERNED), 28031 
Madrid, Spain. Electronic address: javila@cbm.csic.es.
","

Here we revisit tau protein aggregation at primary, secondary, tertiary and 
quaternary structures. In addition, the presence of non-aggregated tau protein, 
which has been recently discovered, is also commented on.

Copyright © 2022 The Author(s). Published by Elsevier Ltd.. All rights reserved."
35525497,10.1016/j.ejphar.2020.173554,"(1)CICS-UBI - Health Sciences Research Centre, University of Beira Interior, 
Covilhã, Portugal.
(2)CICS-UBI - Health Sciences Research Centre, University of Beira Interior, 
Covilhã, Portugal; CNC- Center for Neuroscience and Cell Biology, University of 
Coimbra, Coimbra, Portugal. Electronic address: samuel@fcsaude.ubi.pt.

","
Alzheimer Disease (AD) is a neurodegenerative disease characterized by two 
neuropathological hallmarks: extracellular deposition of amyloid plaques and 
intracellular neurofibrillary tangles. Current treatment for AD (donepezil, 
galantamine, rivastigmine and memantine) is only symptomatic and has modest 
benefits. Thus, the development of drugs with the potential to change the 
progression of the disease has been a priority. Therapies targeting amyloid β 
have been the focus for almost 30 years. However, highly promising drugs 
recently failed to show clinical benefits in phase III trials. Even the positive 
findings presented by Biogen on Aducanumab are not entirely clear and further 
data is necessary to confirm its validity. Therefore, researchers are turning 
their efforts around to tau-targeting therapies, since tau protein appears to be 
better correlated with the severity of cognitive decline than amyloid β. 
Currently, most anti-tau agents in clinical trials are immunotherapies and they 
are in the early stages of clinical research. Four monoclonal antibodies 
anti-tau (Gosuranemab, Tilavonemab, Semorinemab and Zagotenemab) and one 
anti-tau vaccine (AADvac1) have reached phase II, so far. In this review, we 
discuss the potential disease-modifying agents tested in clinical trials and 
update the information of drugs that are still under clinical evaluation.

Copyright © 2020 Elsevier B.V. All rights reserved."
32941929,10.1016/B978-0-12-802395-2.00025-0,"(1)Institute of Neurology, Medical University of Vienna, Vienna, Austria. 
Electronic address: gabor.kovacs@meduniwien.ac.at.

","
Tauopathies are neurodegenerative disorders characterized by the deposition of 
abnormal tau protein in the brain. The spectrum of tau pathologies expands 
beyond the traditionally discussed disease forms like Pick disease, progressive 
supranuclear palsy, corticobasal degeneration, and argyrophilic grain disease. 
Emerging entities and pathologies include globular glial tauopathies, primary 
age-related tauopathy, which includes neurofibrillary tangle dementia, chronic 
traumatic encephalopathy (CTE), and aging-related tau astrogliopathy. Clinical 
symptoms include frontotemporal dementia, corticobasal syndrome, Richardson 
syndrome, parkinsonism, pure akinesia with gait freezing and, rarely, motor 
neuron symptoms or cerebellar ataxia. Some disorders show specific neuroimaging 
features, while examination of the cerebrospinal fluid awaits markers for in 
vivo stratification of cases. The possibility of cell-to-cell propagation is a 
novel aspect of the pathogenesis of tauopathies, which is partly reflected by 
the hierarchic involvement of anatomic regions. This concept might have 
relevance for the development of therapies. For cost-effective screening for tau 
pathologies in neuropathologic practice, examination of the hippocampus, 
amygdala, and basal ganglia is recommended. Uncommon morphologies or unusually 
extensive forms of tau pathologies should raise the suspicion of a genetic 
background. Ongoing multidisciplinary studies are needed to understand the whole 
spectrum and significance of tau pathologies.

Copyright © 2017 Elsevier B.V. All rights reserved."
28987182,10.1038/s41582-023-00851-w,"(1)Nature Reviews Neurology, . nrneuro@nature.com.

Comment on
    Nat Commun. 2023 Jun 22;14(1):3706. doi: 10.1038/s41467-023-39328-1.","Comment on
    Nat Commun. 2023 Jun 22;14(1):3706. doi: 10.1038/s41467-023-39328-1."
37402804,10.1139/bcb-2016-0227,"(1)Department of Chemistry, Oakland University, Rochester, MI 48309, USA.

","Protein-misfolding diseases are based on a common principle of aggregation 
initiated by intra- and inter-molecular contacts. The structural and 
conformational changes induced by biochemical transformations such as 
post-translational modifications (PTMs), often lead to protein unfolding and 
misfolding. Thus, these order-to-disorder or disorder-to-order transitions may 
regulate cellular function. Tau, a neuronal protein, regulates microtubule (MT) 
structure and overall cellular integrity. However, misfolded tau modified by 
PTMs results in MT destabilization, toxic tau aggregate formation, and 
ultimately cell death, leading to neurodegeneration. Currently, the lack of 
structural information surrounding tau severely limits understanding of 
neurodegeneration. This minireview focuses on the current methodologies and 
approaches aimed at probing tau conformation and the role of conformation in 
various aspects of tau biochemistry. The recent applications of nuclear magnetic 
resonance, mass spectrometry, Förster resonance electron transfer, and molecular 
dynamics simulations toward structural analysis of conformational landscapes of 
tau will be described. The strategies developed for structural evaluation of tau 
may significantly improve our understanding of misfolding diseases."
28278386,10.1007/s12010-024-04960-0,"(1)Wolfson Nanomaterials & Devices Laboratory, School of Computing, Electronics 
and Mathematics, Plymouth University, Devon, PL4 8AA, UK. 
sophia.nazir@plymouth.ac.uk.
(2)C.M.H Lahore Medical College, University of Health Sciences, Abdur Rahman 
Road, Lahore Cantt, Pakistan.

","
The microtubule-associated Tau protein is found in the central nervous system 
(CNS) in six major isoforms. Neurodegenerative diseases have been linked to 
post-translational changes of Tau, most notably phosphorylation. Tau protein's 
molecular diversity is highly helpful in the identification of neurodegenerative 
illnesses. Nonetheless, one major obstacle to the early detection of brain 
illness is the nanoscale identification of tau proteins. The standard methods 
for identifying tau protein include western blotting, polymerase chain reaction 
(PCR), and real-time PCR. Enzyme-linked immunosorbent assay (ELISA) is another 
approach used. The limited sensitivity and specificity of these detections, 
together with the need for sophisticated equipment, are some of their drawbacks. 
The development of innovative and complex methods for tau protein screening is 
necessary to address the aforementioned issues. Biosensors are a cutting-edge 
instrument that may help identify various neurodegenerative biomarkers as early 
as feasible. This paper provides an overview of the most recent developments in 
the detection of neurodegenerative diseases employing biosensors built on 
nanotechnology and methods for imaging, electrochemical, and optical detection 
of the Tau protein. Furthermore, we outline the present difficulties and suggest 
a possible course for biosensor-based detection and intervention in the future.

© 2024. The Author(s), under exclusive licence to Springer Science+Business 
Media, LLC, part of Springer Nature."
38696096,10.1016/0197-4580(94)90178-3,"(1)Max-Planck-Gesellschaft Research Institute, Hamburg, Germany.

","The etiology of Alzheimer's disease is still unknown. Because the disease is 
specific for human brain, a rational search for early diagnosis or prevention is 
very difficult. This calls for the development of cellular models that mimick 
the degeneration of neurons in AD. The brains of AD patients contain markers 
whose composition and location is characteristic of the disease; one of the most 
reliable markers is tau protein in its pathologically phosphorylated and 
aggregated form. This form of tau can serve as a guide to the origins of the 
pathology. One goal of research that should be feasible within the near future 
is to construct a cell that induces the same abnormal changes in tau protein in 
response to defined stimuli (extracellular signals, toxins, stress, etc.). This 
model can then be used to identify possible substances that might cause the 
disease, or identify strategies for preventing it. Once they are defined on a 
cellular level, the next step would be to test them on (transgenic) animal 
models which are being developed at present."
7700470,10.1007/978-981-32-9358-8_25,"(1)Deutsches Zentrum für Neurodegenerative Erkrankungen (DZNE), Berlin, Germany. 
susanne.wegmann@dzne.de.

","
Tau is an intrinsically unfolded protein that, aside from its important role in 
the regulation of microtubule stability, harbors an emerging number of other 
functions. In order to find explanations for some longtime unsolved aspects of 
neuronal tau biology in the brain, we may have to step aside from observing tau 
molecules in dilute solutions, and from assuming a mono-molecular 
physicochemical behavior of molecules in the cell. Liquid condensed phases of 
tau proteins, which form through the biophysical process of liquid-liquid phase 
separation (LLPS), behave like liquids and thereby offer a new regime of 
interactions in the cell. So far, there is evidence that tau condensates (i) 
play a role for neurodegenerative diseases by transitioning into aggregated 
forms of tau, (ii) are involved in microtubule binding, nucleation, and 
bundling, and (iii) are interacting with RNA molecules, which could impact RNA 
homeostasis and transcription. Likewise the functions of monomeric tau, also tau 
condensation is regulated by post-translational modifications and can be 
influenced by the local environment, for example in neuronal sub-compartments. 
However, we are just beginning to understand the physicochemistry of tau LLPS, 
and the biological role of tau condensation has to be explored in the next 
years."
32096048,10.1007/s12031-022-02002-0,"(1)Key Laboratory of Industrial Fermentation (Ministry of Education), Hubei 
University of Technology, Wuhan, 430068, China.
(2)Hubei Key Laboratory of Industrial Microbiology, Hubei University of 
Technology, Wuhan, 430068, China.
(3)Department of Biological Engineering, Hubei University of Technology, Wuhan, 
430068, China.
(4)Key Laboratory of Industrial Fermentation (Ministry of Education), Hubei 
University of Technology, Wuhan, 430068, China. yqhuang@hbut.edu.cn.
(5)Hubei Key Laboratory of Industrial Microbiology, Hubei University of 
Technology, Wuhan, 430068, China. yqhuang@hbut.edu.cn.
(6)Department of Biological Engineering, Hubei University of Technology, Wuhan, 
430068, China. yqhuang@hbut.edu.cn.

","
Involving addition of chemical groups or protein units to specific residues of 
the target protein, post-translational modifications (PTMs) alter the charge, 
hydrophobicity, and conformation of a protein, which in tune influences protein 
function, protein - protein interaction, and protein aggregation. While the 
occurrence of PTMs is dynamic and subject to regulations, conformational 
disorder of the target protein facilitates PTMs. The microtubule-associated 
protein tau is a typical intrinsically disordered protein that undergoes a 
variety of PTMs including phosphorylation, acetylation, ubiquitination, 
methylation, and oxidation. Accumulated evidence shows that these PTMs play a 
critical role in regulating tau-microtubule interaction, tau localization, tau 
degradation and aggregation, and reinforces the correlation between tau PTMs and 
pathogenesis of neurodegenerative disease. Here, we review tau PTMs with an 
emphasis on their influence on tau structure. With available biophysical 
characterization results, we describe how PTMs induce conformational changes in 
tau monomer and regulate tau aggregation. Compared to functional analysis of tau 
PTMs, biophysical characterization of tau PTMs is lagging. While it is 
challenging, characterizing the specific effects of PTMs on tau conformation and 
interaction is indispensable to unravel the tau PTM code.

© 2022. The Author(s), under exclusive licence to Springer Science+Business 
Media, LLC, part of Springer Nature."
35325356,10.1016/j.bbadis.2004.06.020,"(1)INSERM U422, 1, Place de Verdun, 59045 Lille cedex, France.

","Microtubule-associated Tau proteins are the basic component of intraneuronal and 
glial inclusions observed in many neurological disorders, the so-called 
tauopathies. Many etiological factors, phosphorylation, splicing, and mutations, 
relate Tau proteins to neurodegeneration. Molecular analysis has revealed that 
hyperphosphorylation and abnormal phosphorylation might be one of the important 
events in the process leading to tau intracellular aggregation. Specific set of 
pathological tau proteins exhibiting a typical biochemical pattern, and a 
different regional and laminar distribution, could characterize five main 
classes of tauopathies. A direct correlation has been established between the 
regional brain distribution of tau pathology and clinical symptoms; for instance 
progressive involvement of neocortical areas is well correlated to the severity 
of dementia in Alzheimer's disease, overall suggesting that pathological tau 
proteins are reliable marker of the neurodegenerative process. Recent discovery 
of tau gene mutations in frontotemporal dementia with parkinsonism linked to 
chromosome 17 has reinforced the predominant role attributed to tau proteins in 
the pathogenesis of neurodegenerative disorders, and underlined the fact that 
distinct sets of tau isoforms expressed in different neuronal populations could 
lead to different pathologies. Overall, a better knowledge of the etiological 
factors responsible for the aggregation of tau proteins in brain diseases is 
essential for development of future differential diagnosis and therapeutic 
strategies. They would hopefully find their application against Alzheimer's 
disease but also in all neurological disorders for which a dysfunction of Tau 
biology has been identified."
15615637,10.3233/JAD-170600,"(1)Centro de Biología Molecular Severo Ochoa (CSIC-UAM), Madrid, Spain.
(2)CIBERNED, Madrid, Spain.

","
Tau protein, which was discovered in Prof. Kirschner's laboratory in 1975, has 
been the focus of my research over the last 40 years. In this issue of the 
Journal of Alzheimer's Disease commemorating its 20th year of publication, I 
will provide a short review of some of the features of my relationship with tau."
29036830,10.1111/j.1749-6632.1996.tb34410.x,"(1)MRC Laboratory of Molecular Biology, Cambridge, United Kingdom.

","Abundant neurofibrillary tangles, neuropil threads and senile plaque neurites 
constitute the neurofibrillary pathology of Alzheimer's disease. They form in 
the nerve cells that undergo degeneration in the disease, in which their 
regional distribution correlates with the degree of dementia. Each lesion 
contains the paired helical filament (PHF) as its major component. PHFs are 
composed of the microtubule-associated protein tau in a hyperphosphorylated 
state. PHF-tau is hyperphosphorylated on all six adult brain isoforms. As a 
consequence, tau is unable to bind to microtubules and is believed to 
self-assemble into the PHF. Several candidate protein kinases and protein 
phosphatases have been identified through in vitro experiments."
